url,name,price,screen_size,ssd,cpu,ram,os,gpu,scraped_at,source
https://www.amazon.com.tr/dp/B0F8JB7J7G,"Lenovo IdeaPad Slim 3 Intel N100, 4GB RAM, 128GB SSD, 15.6"" FHD, W11, 82XB009GTX",8495.0,"15.6""",128GB,CELERON N100,4GB,Windows 11,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0F8JDHJ9W,"Lenovo Yoga Slim 7 Intel Ultra 5 125H, 16GB RAM, 512GB SSD, 14"" WUXGA OLED, W11, 83CV007YTR",39999.0,"14""",512GB,ULTRA 5,16GB,Windows 11,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0DTJ2L8R4,"Monster Abra A7 V15.3.4 Intel Core i5 13500H 16 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 17,3"" FHD 144 Hz Oyun Bilgisayarı",39799.0,"17.3""",1TB,I5-13500,16GB,FreeDOS,rtx3050,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0CX2714Z1,Dell Vostro 3530 N1601PVNB3530U10 i7-1355U 32GB 512SSD 15.6 FHD W11P Dizüstü Bilgisayar-CNT011,29009.0,"15.6""",32GB,I7-1355,32GB,Windows 11,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0DWXXNMBB,"LENOVO IdeaPad Slim 3 15IRH10, Intel i5-13420H, 16GB Ram, 512GB SSD, 15.3', Freedos, Laptop, 83K1003MTR",18999.0,"15.3""",512GB,I5-13420,16GB,FreeDOS,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0DZ2TZL7B,ACER NITRO ANV15-41-R2C6| RYZ5-6600H| 16GB RAM| 512 SSD| 6GB RTX3050| 15.6 İnç 144Hz Ekran| FREEDOS| NH.QSHEY.004,,"15.6""",16GB,I5,16GB,FreeDOS,rtx3050,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0F8JB7J7G,"Lenovo IdeaPad Slim 3 Intel N100, 4GB RAM, 128GB SSD, 15.6"" FHD, W11, 82XB009GTX",8495.0,"15.6""",128GB,CELERON N100,4GB,Windows 11,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0CZ71TFB5,"Lenovo V15 G4 AMN 82YU0124TX AMD Ryzen 5 7520U 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar",12899.0,"15.6""",512GB,RYZEN 5 7520,8GB,FreeDOS,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0C5HNRD4M,HP | AMD Ryzen 5 7520U | 8 GB RAM | 256 GB SSD | AMD Radon Graphics | 15.6 '' FHD | FreeDOS | Notebook | 7P6K2EA,12599.0,"15.6""",256GB,RYZEN 5 7520,8GB,FreeDOS,integrated,2025-09-30 18:00:56,amazon
https://www.amazon.com.tr/dp/B0CZ31GM8L,"MSI CYBORG 15 A13VF-894XTR Dizüstü Bilgisayar, Core I7-13620H, 15.6 FHD 144Hz, 16GB RAM, RTX4060 GDDR6 8GB, 1TB SSD, DOS",,"15.6""",1TB,I7-13620,16GB,FreeDOS,rtx4060,2025-09-30 18:00:56,amazon
