url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.amazon.com.tr/dp/B0FQCZ5DKC,"GIGABYTE GAMING A16 CVH Gaming Notebook, 16 inç 165Hz Full HD 16:10 IPS Ekran, Intel Core i7-13620H, NVIDIA GeForce RTX 5060, 32 GB DDR5 RAM, 1TB SSD, Dolby Atmos, Free DOS, CVHI3TR864SD",53199.0,"16""",1TB,I7-13620,32GB,FreeDOS,rtx5060
https://www.amazon.com.tr/dp/B0DNWZ9T2D,"Lenovo IdeaPad 5 14IRH9 | i5-13420H 16 GB DDR5 RAM | 512 GB SSD | UHD Graphics | 14"" WUXGA (1920x1200) IPS, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch | İkisi Bir Arada Notebook, 83KX004FTR",31389.0,"14""",512GB,I5-13420,16GB,FreeDOS,integrated
https://www.amazon.com.tr/dp/B0FFHHWWTB,"Lenovo LOQ | i5-12450HX | 16GB DDR5 RAM | 512GB SSD | RTX 4050 6GB GDDR6 65W | 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz | FreeDOS Dizüstü Bilgisayar | 83LK008JTR",31799.0,"15.6""",512GB,I5-12450,16GB,FreeDOS,rtx4050
https://www.amazon.com.tr/dp/B0FL7GZD6K,Lenovo IdeaPad Slim 3 | i7-13620H | 16GB DDR5 RAM | 512GB SSD | 15.3 İnç WUXGA | FreeDOS Dizüstü Bilgisayar | 83K10060TR,24499.0,"15.3""",512GB,I7-13620,16GB,FreeDOS,integrated
https://www.amazon.com.tr/dp/B0FL7GZD6K,Lenovo IdeaPad Slim 3 | i7-13620H | 16GB DDR5 RAM | 512GB SSD | 15.3 İnç WUXGA | FreeDOS Dizüstü Bilgisayar | 83K10060TR,24499.0,"15.3""",512GB,I7-13620,16GB,FreeDOS,integrated
https://www.amazon.com.tr/dp/B0FMRMTJWD,"Lenovo LOQ 15IAX9 | i5-12600HX | 16GB DDR5 RAM | 512GB SSD | 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC® | RTX 4050 6GB GDDR6 105W | FreeDOS | Gaming Laptop | 83GS00L5TR",36999.0,"15.6""",512GB,I5-12600,16GB,FreeDOS,rtx4050
https://www.amazon.com.tr/dp/B0DWXXNMBB,"LENOVO IdeaPad Slim 3 15IRH10 | Intel i5-13420H | 16GB DDR5 Ram | 512GB SSD | 15.3"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC, 60Hz | Freedos Laptop | 83K1003MTR",22999.0,"15.3""",512GB,I5-13420,16GB,FreeDOS,integrated
https://www.amazon.com.tr/dp/B0DZ6V7SC8,"MSI NB CYBORG 15 A13VE-1863XTR, Dizüstü Bilgisayar, 15.6 FHD 144Hz, I5-13420H, 16GB RAM DDR5, RTX4050 GDDR6 6GB, 512GB SSD, DOS, Siyah",32999.0,"15.6""",512GB,I5-13420,16GB,FreeDOS,rtx4050
https://www.amazon.com.tr/dp/B0FZCGVZJP,"Acer Aspire Lite AL15-32P-C65V NX.J9UEY.001 N4500 4GB 128SSD 15.6"" FHD W11H Dizüstü Bilgisayar",8489.0,"15.6""",4GB,CELERON N4500,4GB,Windows 11,integrated
https://www.amazon.com.tr/dp/B0DZD9242Q,"Apple 2025 M4 çipli 13 inç MacBook Air Laptop: 13.6 inç Liquid Retina Ekran, 16GB Birleşik Bellek, 256 GB SSD Depolama, 12MP Center Stage Kamera, Touch ID; Gök Mavisi",43379.0,"13""",256GB,M4,16GB,macOS,apple integrated
https://www.amazon.com.tr/dp/B0FH2SYGBM,"HP Victus | Intel Core i5-14500HX | 32 GB RAM | 1 TB SSD | NVIDIA GeForce RTX 4060 | 16, 1 inç 144 Hz FHD IPS | FreeDOS | Gaming Laptop | BK5R0EA",43999.0,"15.6""",1TB,I5-14500,32GB,FreeDOS,rtx4060
https://www.amazon.com.tr/dp/B0C85JQYQ6,"HP Victus | AMD Ryzen 5 7640HS | 16 GB RAM | 512 GB SSD | NVIDIA GeForce RTX 4060 DLSS 3 | 16, 1 inç 144 Hz FHD IPS | FreeDOS | Gaming Laptop | 7Z590EA",37999.0,"15.6""",512GB,RYZEN 5 7640,16GB,FreeDOS,rtx4060
https://www.amazon.com.tr/dp/B08SSRZ4LC,"I-LIFE ZedAir CX7 i7-7Y75 8GB 512SSD 15.6"" W10H Gümüs Dizüstü Bilgisayar",10799.0,"15.6""",8GB,I7-7,8GB,Windows 10,integrated
https://www.amazon.com.tr/dp/B0FWK126K2,"Asus Vivobook Go 15 AMD Ryzen 5 7520U 8GB 512GB SSD 15.6"" FHD W11P Notebook E1504FA-BQ1741 003",18490.0,"15.6""",512GB,RYZEN 5 7520,8GB,Windows 11,integrated
https://www.amazon.com.tr/dp/B0FV3N1MM3,ASUS Vivobook Go 15 Ryzen 5-7520U 8GB LPDDR5 512GB SSD 15.6 inç FHD Laptop,15999.0,"15.6""",512GB,RYZEN 5 7520,8GB,FreeDOS,integrated
https://www.amazon.com.tr/dp/B0F8JB7J7G,"Lenovo IdeaPad Slim 3 | Intel N100 | 4GB DDR5 RAM | 128GB SSD | 15.6"" FHD (1920x1080) TN 250nits Anti-glare | W11 | 82XB009GTX",8599.0,"15.6""",128GB,CELERON N100,4GB,Windows 11,integrated
https://www.amazon.com.tr/dp/B0FFHHWWTB,"Lenovo LOQ | i5-12450HX | 16GB DDR5 RAM | 512GB SSD | RTX 4050 6GB GDDR6 65W | 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz | FreeDOS Dizüstü Bilgisayar | 83LK008JTR",31799.0,"15.6""",512GB,I5-12450,16GB,FreeDOS,rtx4050
https://www.amazon.com.tr/dp/B0FW4QYZS6,"MSI CYBORG 15 B13WFKG-494XTR Dizüstü Bilgisayar, Intel Core I7-13620H, 15.6 FHD 144Hz, 16GB RAM DDR5, RTX5060 GDDR7 8GB, 1TB SSD, DOS",52999.0,"15.6""",1TB,I7-13620,16GB,FreeDOS,rtx5060
