url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.incehesap.com/asus-vivobook-ih1-15-x1504va-nj2273w-i5-1334u-16gb-ram-512gb-ssd-15-6-w11-gri-fiyati-84042/,Asus Vivobook IH1 15 X1504VA-NJ2273W I5-1334U 16GB RAM 512GB SSD 15.6″ W11 Gri,17999.0,15.6,512.0,i5,16.0,Windows 11,integrated
https://www.incehesap.com/lenovo-x13-yoga-g4-21f3s2gk00-i7-1355u-16gb-512gb-ssd-13-3-touch-freedos-fiyati-83504/,LENOVO X13 YOGA G4 21F3S2GK00 İ7-1355U 16GB 512GB SSD 13.3″ TOUCH FreeDOS,62599.0,13.3,512.0,i7,16.0,FreeDOS,integrated
https://www.incehesap.com/15iax9-83gs00rytr-fiyati-83348/,LENOVO LOQ 15IAX9 83GS00RYTR i5-12600HX 24GB 1TB SSD 6GB RTX4050 FDOS,37459.0,,1024.0,i5,24.0,,rtx4050
https://www.incehesap.com/asus-vivobook-ih5-15-x1504va-nj413-i7-1355u-24gb-512tb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-fiyati-82973/,"Asus Vivobook IH5 15 X1504VA-NJ413 i7-1355U 24GB 512TB SSD 15,6″ FHD Freedos Taşınabilir Bilgisayar",21899.0,15.6,,i7,24.0,FreeDOS,integrated
https://www.incehesap.com/asus-vivobook-ih4-15-x1504va-nj413-i7-1355u-16gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-fiyati-82971/,"Asus Vivobook IH4 15 X1504VA-NJ413 i7-1355U 16GB 512GB SSD 15,6″ FHD Freedos Taşınabilir Bilgisayar",20999.0,15.6,512.0,i7,16.0,FreeDOS,integrated
https://www.incehesap.com/asus-vivobook-ih2-15-x1504va-nj413-i7-1355u-24gb-1tb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-fiyati-82967/,"Asus Vivobook IH2 15 X1504VA-NJ413 i7-1355U 24GB 1TB SSD 15,6″ FHD Freedos Taşınabilir Bilgisayar",24799.0,15.6,1024.0,i7,24.0,FreeDOS,integrated
https://www.incehesap.com/msi-modern-14-f13mg-429xtr-freedos-gri-notebook-fiyati-82474/,MSI Modern 14 F13MG-429XTR i5-1334U 16GB DDR4 UMA 512GB SSD 14″ FHD FreeDOS Gri Notebook,22499.0,,512.0,i5,16.0,FreeDOS,integrated
https://www.incehesap.com/msi-nb-stealth-ai-a2hwfg-062tr-gaming-notebook-fiyati-82468/,MSI NB Stealth 16 AI A2HWFG-062TR Intel Core Ultra 9 285H 32GB DDR5 1TB SSD 8GB RTX5060 GDDR7 16″ QHD+ OLED 240Hz W11 Gaming Notebook,94999.0,,1024.0,ultra9,32.0,Windows 11,rtx5060
https://www.incehesap.com/msi-vector-18-hx-ai-a2xwig-666xtr-intel-core-ultra-9-275hx-32gb-ddr5-1tb-ssd-16gb-rtx5080-gddr7-16-2k-qhd-freedos-gaming-notebook-fiyati-82367/,MSI Vector 18 HX AI A2XWIG-666XTR Intel Core Ultra 9 275HX 32GB DDR5 1TB SSD 16GB RTX5080 GDDR7 16″ 2K QHD+ FreeDOS 240Hz Gaming (Oyuncu) Notebook,125649.0,,1024.0,ultra9,32.0,FreeDOS,rtx5080
https://www.incehesap.com/msi-vector-16-hx-ai-a2xwig-090xtr-intel-core-ultra-9-275hx-16gb-ddr5-1tb-ssd-16gb-rtx5080-gddr7-16-2k-qhd-freedos-gaming-oyuncu-notebook-fiyati-82364/,MSI Vector 16 HX AI A2XWIG-090XTR Intel Core Ultra 9 275HX 16GB DDR5 1TB SSD 16GB RTX5080 GDDR7 16″ 2K QHD+ FreeDOS Gaming (Oyuncu) Notebook,115899.0,,1024.0,ultra9,16.0,FreeDOS,rtx5080
