url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.mediamarkt.com.tr/tr/product/_lenovo-ideapad-slim-3amd-ryzen-7-5825u16gb-ram512gb-ssd156-fhdw11laptop-82xm00u5tx-1247018.html,"LENOVO IdeaPad Slim 3/AMD Ryzen 7 5825U/16GB RAM/512GB SSD/15.6"" FHD/W11/Laptop 82XM00U5TX",29999.0,"15.6""",512GB,RYZEN 7 5825U,16GB,Windows 11,integrated
https://www.mediamarkt.com.tr/tr/product/_lenovo-ideapad-slim-5amd-ryzen-ai-716gb-ram512gb-ssd16-wuxgaw11laptop-83hy004ctr-1246710.html,"LENOVO IdeaPad Slim 5/AMD Ryzen AI 7/16GB RAM/512GB SSD/16"" WUXGA/W11/Laptop 83HY004CTR",47999.0,"16""",512GB,I5,16GB,Windows 11,integrated
https://www.mediamarkt.com.tr/tr/product/_apple-mw0y3tuamacbook-airapple-m4-islemci-10-cekirdek-cpu-8-cekirdek-gpu16gb-ram256gb-ssd136starlight-1245655.html,"APPLE MW0Y3TU/A/MacBook Air/Apple M4 İşlemci (10 Çekirdek CPU-8 Çekirdek GPU)/16GB RAM/256GB SSD/13.6""/Starlight",49999.0,"13.6""",256GB,M4,16GB,FreeDOS,apple integrated
https://www.mediamarkt.com.tr/tr/product/_apple-mc6t4tuamacbook-airapple-m4-islemci-10-cekirdek-cpu-8-cekirdek-gpu16gb-ram256gb-ssd136sky-blue-1245652.html,"APPLE MacBook Air/ Apple M4 İşlemci (10 Çekirdek CPU-8 Çekirdek GPU)/ 16GB Ram/ 256GB SSD/ 13.6""/ Sky Blue MC6T4TU/A",49999.0,"13.6""",256GB,M4,16GB,FreeDOS,apple integrated
https://www.mediamarkt.com.tr/tr/product/_lenovo-ideapad-5-2-in-1-ryzen-ai-7-16gb-ram-512gb-ssd-14-wuxga-w11-laptop-83kt003ctr-1246711.html,"LENOVO IdeaPad 5 2-in-1/ Ryzen AI 7/ 16GB Ram/ 512GB SSD/ 14""/ WUXGA/ W11/ Laptop 83KT003CTR",49999.0,"14""",512GB,I5,16GB,Windows 11,integrated
https://www.mediamarkt.com.tr/tr/product/_asus-vivobook-15-x1502va-bq523wintelr-coretm-i7-13620h8-gb-ram512-gb-ssd156w11-laptop-1250066.html,"ASUS Vivobook X1502VA-BQ523W/Intel® Core™ i7-13620H İşlemci/16GB RAM/512GB SSD/15.6""/W11 Laptop",32499.0,"15.6""",512GB,I7-13620H,16GB,Windows 11,integrated
https://www.mediamarkt.com.tr/tr/product/_apple-mc6u4tuamacbook-airapple-m4-islemci-10-cekirdek-cpu-10-cekirdek-gpu16gb-ram512gb-ssd136sky-blue-1245656.html,"APPLE MC6U4TU/A/MacBook Air/Apple M4 İşlemci (10 Çekirdek CPU-10 Çekirdek GPU)/16GB RAM/512GB SSD/13.6""/Sky Blue",57999.0,"13.6""",512GB,M4,16GB,FreeDOS,apple integrated
https://www.mediamarkt.com.tr/tr/product/_apple-mw123tuamacbook-airapple-m4-islemci-10-cekirdek-cpu-8-cekirdek-gpu16gb-ram256gb-ssd136midnight-1245654.html,"APPLE MW123TU/A/MacBook Air/Apple M4 İşlemci (10 Çekirdek CPU- 8 Çekirdek GPU)/16GB RAM/256GB SSD/13.6""/Midnight",49999.0,"13.6""",256GB,M4,16GB,FreeDOS,apple integrated
https://www.mediamarkt.com.tr/tr/product/_huawei-matebook-d14-2024-ips-intel-core-i5-12450h-8-gb-ram-512-gb-ssd-14-inc-windows-11-home-laptop-gri-166060560.html,HUAWEI MateBook D14 2024 IPS Intel Core i5 12450H 8 GB RAM 512 GB SSD 14 inç Windows 11 Home Laptop Gri,23999.0,"15.6""",512GB,I5-12450H,8GB,Windows 11,integrated
https://www.mediamarkt.com.tr/tr/product/_lenovo-ideapad-slim-3-15irh8-83em00kytr-fhd-intel-core-i5-13420h-16-gb-ram-512-gb-ssd-156-inc-freedos-laptop-gri-165855350.html,"LENOVO IdeaPad Slim 3 15IRH8 83EM00KYTR FHD Intel Core i5-13420H 16 GB RAM 512 GB SSD 15,6 inç FreeDOS Laptop Gri",21499.0,"15.6""",512GB,I5-13420H,16GB,FreeDOS,integrated
